name,price,Net Quantity,Best Sellers Rank,Product Dimensions
sanket Pure Mix Tutti Frutti candy-1kg,₹ 249.00,1000 gram,12 x 5 x 6 cm; 1 Kilograms,"#7,219 in Grocery & Gourmet Foods ( See Top 100 in Grocery & Gourmet Foods ) #72 in Candies & Mints"
"Tim Hawk Oral Dental C Cleaner Plastic Brush Scraper, Standard(1696) - Pack of 2",,,,
"Amigozz Oral Tongue Cleaner Brush Scraper, Set Of 2 pcs(color & design may vary)",₹ 98.00,,,
"GO DESi Imli Pop Tamarind & Jaggery Candy (10 Piece), 90 gm",₹ 50.00,4.3 x 2 x 8 cm; 90 Grams,1 count,"#3,737 in Grocery & Gourmet Foods ( See Top 100 in Grocery & Gourmet Foods ) #26 in Candies & Mints"
"GreenFinity® Imli Candy, Khatti, Methi Imli, Chulbuli Imli Tamarind Twist Candy, Tamarind Candy - Shipping Free -300g",₹ 149.00,300 gram,16 x 15 x 5 cm; 300 Grams,"#2,988 in Grocery & Gourmet Foods ( See Top 100 in Grocery & Gourmet Foods ) #17 in Candies & Mints"
Heerson's Mumbai Rose Mint 100g x 2 Pack,₹ 225.00,200 gram,"#6,336 in Grocery & Gourmet Foods ( See Top 100 in Grocery & Gourmet Foods ) #62 in Candies & Mints",
"N Nakodas Nakodas Tutti Frutti Mix Pack (Cherry Fresh Fruits), 900 Grams Pouch",₹ 210.00,900 gram,"#5,859 in Grocery & Gourmet Foods ( See Top 100 in Grocery & Gourmet Foods ) #53 in Candies & Mints",
"Ring Pop Hard Candy's 4 Combo Flavours ( Black Currant, Strawberry, Cola & Raspberry)",₹ 389.00,40 gram,"#4,934 in Grocery & Gourmet Foods ( See Top 100 in Grocery & Gourmet Foods ) #42 in Candies & Mints",
"Dabur Hajmola Tasty Digestive Tablets - Imli, 120 Tablets",,,,
Fisherman's Friend Sugar Free Mouth Freshener - Original - Powerful and Strong Lozenges,₹ 89.00,25 gram,"#5,435 in Grocery & Gourmet Foods ( See Top 100 in Grocery & Gourmet Foods ) #47 in Candies & Mints",
CHAMRIA KARORPATI GOLI (anardana goli) 200GMS (2 PACKS OF CHURAN/PACHAK/ANAR GOLI),₹ 200.00,,,
"Swad Original and Swad Mixed Chocolate Candy, Kaccha Aam, Imli, Lemon and Guava Jar, 300 Toffees",₹ 299.00,889 gram,8 x 7 x 23 cm; 890 Grams,"#7,223 in Grocery & Gourmet Foods ( See Top 100 in Grocery & Gourmet Foods ) #73 in Candies & Mints"
Colgate Vedshakti Mouth Protect Spray - 10gm (Pack of 3),₹ 297.00,,,
"Wonder care -100% Copper Tongue Cleaner/Scapper Antimicrobial Ayurvedic, Antibacterial scrapper for Optimal Oral Hygiene 12 Pack",₹ 349.00,,,
"Haribo Chawmallows, 150g",₹ 168.00,150 gram,"#2,119 in Grocery & Gourmet Foods ( See Top 100 in Grocery & Gourmet Foods ) #10 in Candies & Mints",
